Show date,Show name,Show details,Set times,Set summary
"JUN, 29, 2024",BABYMETAL at Resurrection Fest 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Campo de fútbol Celeiro, Viveiro, Spain","Set Times:
Doors: 1:00 pmShow: 5:15 pm – 6:15 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCKARATEMETALI!!RATATATAGimme Chocolate!!Road of Resistance
"JUN, 27, 2024",BABYMETAL at Hellfest 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Val de Moine, Clisson, France","Set Times:
Show: 8:25 pm – 9:15 pm",BABYMETAL DEATHDistortionPA PA YA!!METALI!!KARATERATATATAGimme Chocolate!!Road of Resistance
"JUN, 25, 2024",BABYMETAL at Rock in Roma 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Ippodromo delle Capannelle, Rome, Italy","Set Times:
Doors: 7:00 pmStart: 9:45 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCMETALI!!MonochromeRATATATAGimme Chocolate!!Road of Resistance
"JUN, 23, 2024","BABYMETAL at Le Zénith, Toulouse, France","Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Le Zénith, Toulouse, France","Set Times:
Doors: 6:00 pmShow: 9:10 pm – 10:20 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCMETALI!!MonochromeRATATATAGimme Chocolate!!Headbangeeeeerrrrr!!!!!Road of Resistance
"JUN, 21, 2024",BABYMETAL at Pinkpop 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Megaland, Landgraaf, Netherlands","Set Times:
Show: 4:15 pm – 5:15 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCMETALI!!KARATERATATATAGimme Chocolate!!Road of Resistance
"JUN, 20, 2024",BABYMETAL at Graspop Metal Meeting 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Festivalterrein Stenehei, Dessel, Belgium","Set Times:
Show: 7:10 pm – 8:15 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBrand New DayMETALI!!KARATERATATATAGimme Chocolate!!Road of Resistance
"JUN, 18, 2024","BABYMETAL at Letnia Scena Progresji, Warsaw, Poland","Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Letnia Scena Progresji, Warsaw, Poland","Set Times:
Doors: 6:00 pmShow: 8:10 pm – 9:15 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCBrand New DayMETALI!!MonochromeRATATATAGimme Chocolate!!Headbangeeeeerrrrr!!!!!Road of Resistance
"JUN, 16, 2024",BABYMETAL at Nova Rock 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Pannonia Fields II, Nickelsdorf, Austria","Set Times:
Doors: 10:00 amShow: 5:45 pm – 6:50 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCMETALI!!KARATEHeadbangeeeeerrrrr!!!!!RATATATAGimme Chocolate!!Road of Resistance
"JUN, 15, 2024",BABYMETAL at Download Festival 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Donington Park, Castle Donington, England","Set Times:
Show: 3:45 pm – 4:30 pm",BABYMETAL DEATHDistortionMETALI!!KARATERATATATA
"JUN, 13, 2024",BABYMETAL at Greenfield Festival 2024,"Artist: BABYMETAL, Tour: BABYMETAL WORLD TOUR 2024 , Venue: Flugplatz Interlaken, Matten bei Interlaken, Switzerland","Set Times:
Doors: 1:30 pmStart: 5:30 pm",BABYMETAL DEATHDistortionPA PA YA!!MegitsuneBxMxCMETALI!!KARATERATATATAGimme Chocolate!!Road of Resistance
